Theater Company / School / Artistic Organization,Alt names,Link to more info,Language,Type of Organization,Year Founded,Year Ended,Location,Location,Location,Location,Location,Location,Location,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,
Berlin Philharmonic,,https://en.wikipedia.org/wiki/Berlin_Philharmonic,German,Orchestra,,,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Kletzki,Conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bezalel School of Arts and Crafts,Bezalel Academy of Arts and Design,https://en.wikipedia.org/wiki/Bezalel_school,Hebrew,School,1906,Present,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bialystok Yiddish State Theater,Bialystoker Yidish Dramatisher Melukhe-Teater,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,1939,,Bialystok,,,,,,,Avrom Morevsky,Post,Morits Norvid,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Wiskind,Artistic Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birobidzhaner State Theater,Kaganovitch Yiddish Theater,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,,,"Birobidzhan, Russia",,,,,,,Alex Stein,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITS,"Bukhareshter Idishe Teater Studiye, Studioul teatrul evreiesc din Bucurest",http://jwa.org/encyclopedia/article/romanian-yiddish-theater,Yiddish,Professional,1930,193?,Bucharest,,,,,,,Yankev Shternberg,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tudor Arghezi ,,,,,,,
Boguslawski Theatre,,none,Polish,Professional,,,Warsaw,,,,,,,,,,,,,,,Andrzej Pronaszko,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Schiller,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Os Comediantes,,http://www.yivoencyclopedia.org/article.aspx/Turkow_Family,Portuguese,Professional,1940,,Sao Paolo,,,,,,,Zygmunt Turkow,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breitman-Teffner Yiddish Theater Company,,none,Yiddish,Professional,,,Johannesburg,,,,,,,,,,,,,,,Natan Breitman,Post,Hertz Grosbard,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Art Theater,,none,Yiddish,Professional,,,New York,,,,,,,Mark Schweid,Post,,,,,,,Helen Zelinskaya,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zvi Scooler,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucharest Yiddish State Theater,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,,,Bucharest,,,,,,,,,,,,,,,Dina Koenig,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lia Koenig,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
