Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Lieber,Ali,Ali Lieber,m,,,,Belgium,Belgium,,,,,,,1929-1930,Belgium,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liebgold,Leon,Leon Liebgold,m,,,,"MVT, Stein",MVT,Stein,,,,,,1928-1933,"Vienna, Germany, Romania, Poland, Czechoslovakia, Yugoslavia, EE",Actor,A,Lili Liliana,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Di yidishe bande,Actor,Yiddish,Kalisz,51.767281,18.085346,Vilna,54.687156,25.279651,Paris,48.856614,2.352222,Buenos Aires,-34.603723,-58.381593,Sao Paolo,-23.550521,-46.633309,Hebrew Actors Union,President,Yiddish,New York,40.728457,-73.988754,,,,Second Avenue Theater,Actor,Yiddish,New York,40.730953,-73.985976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lili Liliana,Performed with,Avrom Morevsky,Performed with,Molly Picon,Performed with,Joseph Green,Performed with,Leo Fuchs,Performed with,Seymour Rexite,Performed with,Maurice Schwartz,Performed with,Julius Adler,Performed with,Isaac Samberg,Performed with,Judith Berg,Performed with,Michał Waszyński,Performed with,Dina Halpern,Performed with,Moyshe Lipman,Performed with,Alter Kacyzne,Performed with,Gershon Lemberger,Performed with,Henekh Kon,Performed with,Miriam Kressyn,Performed with,Mordechai Yachson,Performed with,Seymour Rexite,Performed with,Menasha Skulnik,Performed with,Moyshe Feder,Performed with,Louis Weisberg,Performed with,Simkhe Natan,Performed with,Jacob Kalich,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liekin,, Liekin,m,,,,O,O,,,,,,,1916-1918,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Likht,Dovid,Dovid Likht,m,Frenkl,Daniel,"David Licht, Dovid Licht",MVT,MVT,,,,,,,1927-1929,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYAT,Director,Yiddish,Paris,48.856601,2.3345901,,,,,,,,,,,,,Folksbiene,"Director, Producer",Yiddish,New York ,40.718289,-73.991127,,,,Yiddish Art Theater,Director,Yiddish,New York,40.730929,-73.986157,Orpheus Yiddish Laborers Theater,Director,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Kurlender,Performed with,Jacob Rotbaum,Performed with,Felix Fibich,Director,Maurice Schwartz,Director,Joseph Rumshinsky,Director,Jacob Ben-Ami,Director,Bertha Gersten,Director,Dina Koenig,Performed with,Yosef Kamen,Performed with,Shloyme Krause,Performed with,Dovid Herman,Performed with,Julia Levin,Director,Sam Leve,Director,Maurice Schwartz,Director,Luba Kadison,Director,Misha Fishzon,Director,Leib Kadison,Director,Avrom Taytlboym,Director,Ester Gamerov,Director,Yankev Mandlblit,Performed with,Pepi Urich,Performed with,Yankev Reynglas,Performed with,Sami Feder,Performed with,Liza Schlossberg,Performed with,Alex Stein,Performed with,Mordechai Yachson,Performed with,Jacob Waislitz,Performed with,Yocheved Waislitz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipovski,Sasha,Sasha Lipovski,m,Zhelazo,Simkhe,,MVT,MVT,,,,,,,1929-1931,"Kraków, EE",Actor,A,Leyzer Zhelazo,Son,Ester Lipovska,Son,Nokhum Lipovski,Adopted son,,,,,,,,,,,,,,,Nokhum Lipovski,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Folk Theater,Actor,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Lipman,Performed with,Nokhum Lipovski,Performed with,Ester Lipovska,Performed with,Miriam Kressyn,Performed with,Paul Baratoff,Performed with,Avrom Morevsky,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipska-Mansdorf,Miriam,Miriam Lipska-Mansdorf,f,,,"Maria Lipska, Marji Lipska",MVT,MVT,,,,,,,"1927-1929, 1932-1934",EE,Costume designer,D,Yankev Mansdorf,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azazel,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Mansdorf,Designer,Dovid Herman,Designer,Henekh Kon,Designer,Ola Lilith,Designer,Moyshe Broderzon,Designer,Moyshe Potashinski,Designer,Władysław Godik,Designer,Władysław Weintraub,Designer,Nokhum Melnik,Designer,Hersh Poznanski,Designer,Falie Goldhirsh,Designer,Tea Artsishevska,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Löwendal,Baronul,Baronul Löwendal,m,,,,MVT,MVT,,,,,,,1928,EE,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubotsky,Jacob,Jacob Lubotsky,m,,,"Yankev Lubotzky, Yankev Lyubotsky","AA, AmRev, Belgium, Bronx, AmRev3",AA,AmRev,Belgium,Bronx,AmRev3,,,"1922-1925, 1926-1927,1928-1929, 1929-1930, 1936","WE, US, Belgium",Actor,A,Sonia Alomis,Brother,Alexander Azro,Brother-in-law,Olya Libert-Lubotsky,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumenov,Dovid,Dovid Lumenov,m,,,Dawid Lumenow,MVT,MVT,,,,,,,1927-1928,Warsaw,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumet,Baruch,Baruch Lumet,m,,Borukh,,MVT,MVT,,,,,,,1918 - 1919,"Warsaw, EE",Actor,A,Sidney Lumet,Father,,,,,,,,,,,,,,,,,,,Dovid Herman,Yankev Shidlo,,,,,,Warsaw Academy of Drama,Theater school,Polish,Warsaw,52.229676,21.012229,Teatr Mały,Theater school,Polish,Warsaw,52.23453,21.011338,,,,,,,Yidishe dramatishe teater in Amerike,"Founder, Director",Yiddish,New York,40.718289,-73.991127,"Wilmington, Delaware",39.739072,-75.539788,"Atlantic City, NJ",39.364283,-74.422927,,,,,,,Dallas Institute of Performing Arts,Director,English,Dallas,32.780141,-96.800451,,,,Ahata Amateur Theater Club,"Founder, Director",Yiddish,Warsaw,52.229676,21.012229,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,Naye yidish teater,Actor,Yiddish,Warsaw,52.229676,21.012229,Hebrew Literature Society of Philadelphia,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Performed with,Sidney Lumet,Performed with,Avrom Taytlboym,Performed with,Joseph Buloff,Performed with,Stella Adler,Performed with,Yankev Mestel,Performed with,Luba Kadison,Performed with,Paul Baratoff,Performed with,Boris Aronson,Performed with,Chaim Shniur,Performed with,Julius Adler,Performed with,Luther Adler,Performed with,Celia Adler,Performed with,Bertha Gersten,Performed with,Jayne Mansfield,"Teacher, Director",Woody Allen,Performed with,Woody Allen,Performed with,Max Reinhardt,Performed with,Kurt Weill,Performed with,Lotte Lenya,Performed with,Benjamin Zemach,Performed with,Mordechai Yachson,Performed with,Paul Breitman,Performed with,Misha Rapel,Performed with,Malvina Rapel,Performed with,Yankev Shidlo,Performed with,Morits Norvid,Performed with,Sallie Weisenfreund Nasatir,Performed with,Morris Nasatir,Performed with,Boris Thomashefsky,Performed with,Gustav Schacht,Performed with,Gene Wilder,Performed with,Lynn Redgrave,Performed with,Burt Reynolds,Performed with,Morgan Freeman,Performed with,John Banner,Performed with,Martin Ritt,"Performed with, Teacher",Paul Newman,Performed with,Susan Strasberg,Performed with,Eli Wallach,Performed with,Sylvia Sidney,Performed with,Edgar G. Ulmer,Casting Director,Charles Adler,Performed with,Norman Bel Geddes,Performed with,Rip Torn,Teacher,Marvin Chomsky,Teacher,Jerome Robbins,Performed with,Zvi Scooler,Performed with,Molly Picon,Performed with,Rod Steiger,Performed with,,,,,,,,,,
Mackiewicz,Konstanty,Konstanty Mackiewicz,m,,,,MVT,MVT,,,,,,,1933,London,Director,Dir,,,,,,,,,,,,,,,,,,,,,Vasily Kandinsky,,,,,,,"Moscow School of Painting, Sculpture, and Architecture",Art school,Russian,Moscow,55.762994,37.6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mager,, Mager,m,,,,MVT,MVT,,,,,,,1920-1921,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magidman,Chana,Chana Magidman,f,,,Chana Magidman Simpson,MVT,MVT,,,,,,,?,EE,"Designer, Actor, Seamstress","D, A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maksi,, Maksi,m,,,,MVT,MVT,,,,,,,?,EE,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandl,, Mandl,m,,,,MVT,MVT,,,,,,,1929,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandlblit,Yankev,Yankev Mandlblit,m,,,,MVT,MVT,,,,,,,1928-1929,EE,Actor,A,Pepi Urich,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Akord,Founder,Yiddish,EE Touring,-,-,,,,Riger yidishn meutim teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Turkow,Performed with,Moyshe Lipman,Performed with,Ida Kaminska,Performed with,Adam Domb,Performed with,Zalmen Hirshfeld,Performed with,Pepi Urich,Performed with,Klara Segalovitch,Performed with,Simkhe Vaynshtok,"Performed with, co-founder",Yonas Turkow,Performed with,Diana Blumenfeld,Performed with,Dovid Likht,Performed with,Lidia Pototska,Performed with,Mikhl Vaykhert,Performed with,Khane Braz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manen,Chana,Chana Manen,f,,,,AA,AA,,,,,,,1924-1925,"US, Los Angeles",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansdorf,Yankev,Yankev Mansdorf,m,Kelmovitsh,Avrom-Yankev,,MVT,MVT,,,,,,,"1927-1930, 1932-1934","EE, WE",Actor,A,Miriam Lipska-Mansdorf,Husband,,,,,,,,,,,,,,,,,,,Mikhl Vaykhert,Alex Stein,Alexander Zelwerowicz,Dovid Herman,Zygmunt Turkow,Władysław Godik,,Yidishe dramatishe shul,Theater school,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,Idisher Folks Teater,Director,Yiddish,Johannesburg,-26.204103,28.047305,Yung Teater,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hersh Poznanski,Performed with,Nokhum Melnik,Performed with,Ola Lilith,Performed with,Władysław Weintraub,Performed with,Henekh Kon,Performed with,Dovid Herman,Performed with,Wladyslaw Godik,Performed with,Moyshe Broderzon,Performed with,Zygmunt Turkow,Performed with,Mikhl Vaykhert,Performed with,,,,,,,,,Falie Goldhirsh,Performed with,Tea Artsishevska,Performed with,PYAT,Director,Miriam Lipska-Mansdorf,Performed with,Joseph Buloff,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markhevka,Yisroel,Yisroel Markhevka,m,,,Israel Marchewka,AA,AA,,,,,,,1921-1922,WE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Ela,Ela Marion,f,,,S. Marion,O,O,,,,,,,1916-1917,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayer,Hanoch,Hanoch Mayer,m,,,,Stein,Stein,,,,,,,1931-1932,Vienna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freie Jüdische Volksbühne,Actor,Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,Performed with,Isaac Deutsch,Performed with,Yankev Mestel,Performed with,Simkhe Natan,Performed with,Naomi Natan,Performed with,Lea Weintraub-Graf,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazo,Mordechai,Mordechai Mazo,m,,,,"O, MVT",O,MVT,,,,,,1916-1935,"EE, WE","Business Manager ,  Artistic Director",M,Ester Goldnberg,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folks un yugnt teater,Manager,Yiddish,Lodz,51.759248,19.455983,,,,,,,,,,,,,Yiddish Art Theater,Manager,Yiddish,New York,40.730929,-73.986157,,,,Yidisher Artistn Fareyn,Founder,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klara Segalovitch,Manager,Mikhl Vaykhert,Manager,Avrom Morevsky,Manager,Leon Schiller,Manager,Daniel Shapiro,Manager,Ester Goldnberg,Manager,Władysław Godik,Manager,Shloyme Kon,Manager,Max Wiskind,Manager,Aaron Zeitlin,Actor,Mikhl Vaykhert,"Co-Founder, Performed with",Isaac Samberg,"Co-Founder, Performed with",Mark Arnshteyn,"Co-Founder, Performed with",Maurice Schwartz,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meisels,Klara,Klara Meisels,f,,,"Clara Meisels, Clara Meyzels, Clara Friedhofer, Clara Friedhoffer","MVT, Stein",MVT,Stein,,,,,,1927-193?,"EE, Vienna",Actor,A,,,,,,,,,,,,,,,,,,,,,Max Reinhardt,,,,,,,Max Reinhardt Seminar,Theater school,German,Vienna,48.189588,16.312573,,,,,,,,,,,,,Freie Jüdische Volksbühne,Actor,Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,Performed with,Yudl Goldberg,Performed with,Mina Deutsch,Performed with,Simkhe Natan,Performed with,Klara Meisels,Performed with,Ben-Tsiyon Segal,Performed with,Isaac Deutsch,Performed with,Lea Weintraub-Graf,Performed with,Paul Breitman,Performed with,Naomi Natan,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melman,Meir,Meir Melman,m,,,Marion Melman,MVT,MVT,,,,,,,1923-1924,Lviv EE,Actor,A,Ida Kaminska,Husband,Josef Kaminski,Brother-in-law,Ruth Turkow,Stepfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Dovid Herman Theater,Actor,Yiddish,Melbourne,-37.814107,144.963281,,,,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ida Kaminska,Performed with,Zygmunt Turkow,Performed with,Paul Baratoff,Performed with,Yoyel Bergman,Performed with,Israel Kamay,Performed with,Adam Domb,Performed with,Ruth Turkow,Performed with,Sonia Altboym,Performed with,Lidia Pototska,Performed with,Jacob Rotbaum,Performed with,Moyshe Lipman,Performed with,Judith Berg,Performed with,Felix Fibich,Performed with,Jacob Waislitz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melnik,Nokhum,Nokhum Melnik,m,,,Nakhum Melnick,MVT,MVT,,,,,,,1931-1934,WE,Actor,A,Devorah Rosenblum,Husband,,,,,,,,,,,,,,,,,,,Mikhl Vaykhert,Alexander Zelwerowicz,Dovid Herman,Zygmunt Turkow,Władysław Godik,,,Yidishe dramatishe shul,Theater school,Yiddish,Warsaw,52.229676,21.012229,Zygmunt Turkow,Władysław Godik,,,,,,,,,,,Theater for Two,Founder,Yiddish,Buenos Aires,-34.603723,-58.381593,Paris,48.856614,2.352222,New York,40.746215,-73.992723,Montreal,45.508671,-73.553992,Tel Aviv,32.085301,34.781768,Khaveyrim Trupe,Actor,Yiddish,Antwerp,51.219448,4.402464,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devorah Rosenblum,Performed with,Hersh Poznanski,Performed with,Yankev Mansdorf,Performed with,Ola Lilith,Performed with,Władysław Weintraub,Performed with,Henekh Kon,Performed with,Dovid Herman,Performed with,Wladyslaw Godik,Performed with,Moyshe Broderzon,Performed with,Falie Goldhirsh,Performed with,Hertz Grosbard,Performed with,Zalmen Hirshfeld,Performed with,Tea Artsishevska,Performed with,Miriam Lipska-Mansdorf,Performed with,Avrom Morevsky,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesinger,Mikhal,Mikhal Mesinger,m,,Mikhl,Michal Mesinger,MVT,MVT,,,,,,,1929-1932,Warsaw,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
