Film,Alt Titles,Language,Date,Country,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Misc
"Mir, lebngeblibene",The Jewish People Live,Yiddish,1947,Poland,Meir Melman,Actor,Jacob Rotbaum,Actor,Ida Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judith Berg,Actor,Felix Fibich,Actor,Moyshe Lipman,Actor,,,,,,,,,,,
Mirele Efros,,Yiddish,1939,US,Moyshe Feder,Actor,Pola Valter,Actor,Reuven Vendorf,Actor,Yankev Mestel,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osip Dimov,Screenwriter/Adaptor,Bertha Gersten,Actor,,,,,,,,,,,,,
"Monticello, Here We Come",,English,1950,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fyvush Finkel,Actor,Leo Fuchs,Actor,Seymour Rexite,Actor,Menasha Skulnik,Actor,,,,,,,,,
No Way Out,,English,1950,US,Leola Vendorf,Actor,Reuven Vendorf,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Poitier,Actor,,,,,,,,,,,,,,,
On a heym,,Yiddish,1939,Poland,Adam Domb,Actor,Alter Kacyzne,Screenwriter,Ida Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shimon Dzigan,Actor,Yisroel Shumacher,Actor,,,,,,,,,,,,,
Onkl Moses,Uncle Moses,Yiddish,1933,US,Yankev Mestel,Actor,Mark Schweid,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Actor,Zvi Scooler,Actor,,,,,,,,,,,,,
Overture to Glory,Der vilner balebesl,Yiddish,1940,US,Benjamin Fishbein,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helen Beverly,Actor,,,,,,,,,,,,,,,
Reds,,English,1981,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warren Beatty,Director/Actor/Screenwriter,Diane Keaton,Actor,Jack Nicholson,Actor,Gene Hackman,Actor,,,,,,,,,
Room Service,,English,1938,US,Alexander Azro,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William A. Seiter,Director,Groucho Marx,Actor,Chico Marx,Actor,Harpo Marx,Actor,Lucille Ball,Actor,,,,,,,
Seventh Heaven,,English,1937,US,Leonid Sniegov,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Stewart,Actor,,,,,,,,,,,,,,,
